ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
269,Marcelo Rezende Neves,43,Oeste,Dependente (267),Ativada,Dentro da validade,,,Sim
270,Isabela Castro Neves,12,Oeste,Dependente (267),Ativada,Dentro da validade,,,Sim
271,Mariana Duarte,22,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-11-15,2006-11-14,Não
272,Gabriel Ramos Duarte,32,Oeste,Dependente (271),Ativada,Dentro da validade,,,Sim
273,Juliana Lima,29,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-10-20,2006-10-19,Sim
274,Eduardo Moura Lima,40,Oeste,Dependente (273),Ativada,Fora da validade,,,Sim
275,Diego Pinto Lima,28,Oeste,Dependente (273),Ativada,Dentro da validade,,,Sim
276,Thiago Monteiro Lima,20,Oeste,Dependente (273),Desativada,Fora da validade,,,Sim
277,Paula Melo Lima,53,Oeste,Dependente (273),Ativada,Dentro da validade,,,Sim
278,Simone Fonseca,59,Oeste,Sem Contrato,Desativada,Fora da validade,2001-10-07,2006-10-06,Não
279,Carlos Souza Fonseca,50,Oeste,Dependente (278),Desativada,Dentro da validade,2001-10-07,2006-10-06,Sim
280,Rafael Mendes,20,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-05-31,2002-05-31,Sim
281,Anderson Coelho Mendes,46,Oeste,Dependente (280),Ativada,Dentro da validade,,,Sim
282,Cristina Machado Mendes,26,Oeste,Dependente (280),Ativada,Fora da validade,,,Sim
283,Vanessa Correia Mendes,52,Oeste,Dependente (280),Ativada,Fora da validade,,,Sim
284,Carolina Freitas,49,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-06-23,2002-06-23,Sim
285,Henrique Lopes Freitas,57,Oeste,Dependente (284),Ativada,Dentro da validade,,,Sim
286,Rafael Mendes Freitas,47,Oeste,Dependente (284),Ativada,Dentro da validade,,,Sim
287,Marcos Pereira Freitas,49,Oeste,Dependente (284),Ativada,Dentro da validade,,,Sim
288,Ana Costa,45,Oeste,Sem Contrato,Ativada,Fora da validade,2001-06-30,2011-06-28,Não
289,Marcos Pereira Costa,65,Oeste,Dependente (288),Ativada,Fora da validade,,,Sim
290,Gustavo Azevedo Costa,7,Oeste,Dependente (288),Ativada,Dentro da validade,,,Sim
291,Carolina Freitas Costa,29,Oeste,Dependente (288),Desativada,Dentro da validade,,,Sim
292,Gustavo Azevedo Costa,65,Oeste,Dependente (288),Ativada,Dentro da validade,,,Sim
293,Roberto Martins Costa,38,Oeste,Dependente (288),Ativada,Dentro da validade,,,Sim
294,Patricia Rocha Costa,6,Oeste,Dependente (288),Desativada,Dentro da validade,,,Sim
295,Paulo Nascimento,25,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-07-18,2011-07-16,Sim
296,Mariana Duarte Nascimento,17,Oeste,Dependente (295),Ativada,Fora da validade,2001-07-18,2011-07-16,Sim
297,Silvia Cavalcanti Nascimento,33,Oeste,Dependente (295),Desativada,Fora da validade,,,Sim
298,Rafael Mendes Nascimento,47,Oeste,Dependente (295),Ativada,Dentro da validade,2001-07-18,2011-07-16,Sim
299,Isabela Castro Nascimento,59,Oeste,Dependente (295),Ativada,Fora da validade,,,Sim
300,Fernanda Gomes Nascimento,55,Oeste,Dependente (295),Ativada,Dentro da validade,,,Sim
301,Carolina Freitas,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-04-13,2002-04-13,Sim
302,Juliana Lima Freitas,9,Oeste,Dependente (301),Ativada,Fora da validade,,,Sim
303,Carlos Souza,44,Norte,Sem Contrato,Ativada,Dentro da validade,2001-09-04,2011-09-02,Não
304,Thiago Monteiro Souza,13,Norte,Dependente (303),Desativada,Fora da validade,,,Sim
305,Fernanda Gomes Souza,54,Norte,Dependente (303),Desativada,Dentro da validade,,,Sim
306,Ana Costa Souza,58,Norte,Dependente (303),Ativada,Dentro da validade,2001-09-04,2011-09-02,Sim
307,Thiago Monteiro,38,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-03-27,2002-03-27,Não
308,Roberto Martins,58,Sul,Sem Contrato,Desativada,Fora da validade,2001-05-09,2002-05-09,Não
309,Daniela Sousa Martins,14,Sul,Dependente (308),Ativada,Fora da validade,,,Sim
310,Maria Santos,54,Oeste,Sem Contrato,Ativada,Fora da validade,2001-11-06,2006-11-05,Sim
311,Simone Fonseca Santos,41,Oeste,Dependente (310),Ativada,Fora da validade,,,Sim
312,Leonardo Vieira Santos,39,Oeste,Dependente (310),Ativada,Fora da validade,,,Sim
313,Leticia Cunha,61,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-09-05,2002-09-05,Não
314,Beatriz Cardoso Cunha,43,Oeste,Dependente (313),Ativada,Fora da validade,,,Sim
315,Thiago Monteiro Cunha,30,Oeste,Dependente (313),Ativada,Dentro da validade,,,Sim
316,Rafael Mendes Cunha,20,Oeste,Dependente (313),Ativada,Dentro da validade,,,Sim
317,Diego Pinto,24,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-05-08,2002-05-08,Sim
318,Bruno Castro Pinto,51,Oeste,Dependente (317),Ativada,Fora da validade,2001-05-08,2002-05-08,Sim
319,Isabela Castro,47,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-09-13,2011-09-11,Não
320,Camila Rodrigues Castro,42,Oeste,Dependente (319),Ativada,Dentro da validade,2001-09-13,2011-09-11,Sim
321,Cristina Machado Castro,48,Oeste,Dependente (319),Ativada,Dentro da validade,,,Sim
322,Bruna Ribeiro Castro,13,Oeste,Dependente (319),Desativada,Fora da validade,2001-09-13,2011-09-11,Sim
323,Bruno Castro,20,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-07-26,2006-07-25,Não
324,Anderson Coelho Castro,40,Oeste,Dependente (323),Ativada,Fora da validade,,,Sim
325,Patricia Rocha Castro,13,Oeste,Dependente (323),Desativada,Dentro da validade,,,Sim
326,Beatriz Cardoso Castro,40,Oeste,Dependente (323),Desativada,Fora da validade,,,Sim
327,Pedro Oliveira,50,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-04-12,2011-04-10,Não
328,Lucia Ferreira Oliveira,43,Oeste,Dependente (327),Desativada,Dentro da validade,,,Sim
329,Rafael Mendes Oliveira,15,Oeste,Dependente (327),Ativada,Fora da validade,2001-04-12,2011-04-10,Sim
330,Daniela Sousa Oliveira,26,Oeste,Dependente (327),Ativada,Dentro da validade,2001-04-12,2011-04-10,Sim
331,Maria Santos,54,Oeste,Sem Contrato,Ativada,Fora da validade,2001-09-08,2011-09-06,Sim
332,Marcelo Rezende Santos,60,Oeste,Dependente (331),Desativada,Dentro da validade,,,Sim
333,Cristina Machado Santos,55,Oeste,Dependente (331),Desativada,Dentro da validade,,,Sim
334,Ana Costa Santos,42,Oeste,Dependente (331),Ativada,Dentro da validade,,,Sim
335,Simone Fonseca Santos,58,Oeste,Dependente (331),Ativada,Fora da validade,,,Sim
336,Ricardo Barbosa,54,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-05-05,2002-05-05,Não
337,Simone Fonseca Barbosa,44,Oeste,Dependente (336),Desativada,Fora da validade,,,Sim
338,Adriana Farias,26,Oeste,Sem Contrato,Ativada,Fora da validade,2001-02-01,2011-01-30,Não
339,Leticia Cunha Farias,63,Oeste,Dependente (338),Ativada,Dentro da validade,2001-02-01,2011-01-30,Sim
340,Marcelo Rezende Farias,48,Oeste,Dependente (338),Desativada,Fora da validade,,,Sim
341,Adriana Farias,30,Sul,Sem Contrato,Ativada,Fora da validade,2001-11-09,2006-11-08,Sim
342,Vinicius Torres Farias,50,Sul,Dependente (341),Ativada,Dentro da validade,,,Sim
343,Marcelo Rezende Farias,22,Sul,Dependente (341),Ativada,Dentro da validade,,,Sim
344,Gabriel Ramos,43,Oeste,Sem Contrato,Ativada,Fora da validade,2001-10-06,2006-10-05,Não
345,Paula Melo Ramos,35,Oeste,Dependente (344),Ativada,Fora da validade,,,Sim
346,Adriana Farias Ramos,49,Oeste,Dependente (344),Ativada,Dentro da validade,,,Sim
347,Amanda Dias Ramos,20,Oeste,Dependente (344),Ativada,Fora da validade,,,Sim
348,Lucas Teixeira,32,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-04-26,2011-04-24,Sim
349,Adriana Farias Teixeira,64,Oeste,Dependente (348),Ativada,Fora da validade,,,Sim
350,Gabriel Ramos,59,Oeste,Sem Contrato,Ativada,Fora da validade,2001-09-01,2006-08-31,Sim
351,Marcelo Rezende,32,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-11-30,2011-11-28,Sim
352,Fernanda Gomes Rezende,64,Oeste,Dependente (351),Desativada,Fora da validade,2001-11-30,2011-11-28,Sim
353,Mariana Duarte Rezende,16,Oeste,Dependente (351),Desativada,Fora da validade,,,Sim
354,Pedro Oliveira Rezende,5,Oeste,Dependente (351),Ativada,Fora da validade,2001-11-30,2011-11-28,Sim
355,Renata Campos,47,Norte,Sem Contrato,Ativada,Fora da validade,2001-06-21,2006-06-20,Sim
356,Patricia Rocha Campos,26,Norte,Dependente (355),Ativada,Dentro da validade,,,Sim
357,Fernanda Gomes Campos,5,Norte,Dependente (355),Desativada,Fora da validade,,,Sim
358,Anderson Coelho Campos,17,Norte,Dependente (355),Ativada,Fora da validade,,,Sim
359,Vanessa Correia,50,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-07-27,2006-07-26,Não
360,João Silva Correia,21,Oeste,Dependente (359),Ativada,Dentro da validade,2001-07-27,2006-07-26,Sim
361,Beatriz Cardoso Correia,24,Oeste,Dependente (359),Ativada,Dentro da validade,,,Sim
362,Ana Costa,41,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-05-15,2011-05-13,Não
363,Silvia Cavalcanti Costa,54,Oeste,Dependente (362),Ativada,Dentro da validade,,,Sim
364,Gabriel Ramos Costa,28,Oeste,Dependente (362),Desativada,Dentro da validade,2001-05-15,2011-05-13,Sim
365,Lucia Ferreira Costa,34,Oeste,Dependente (362),Desativada,Fora da validade,,,Sim
366,Adriana Farias Costa,63,Oeste,Dependente (362),Ativada,Dentro da validade,,,Sim
367,Camila Rodrigues Costa,53,Oeste,Dependente (362),Ativada,Fora da validade,,,Sim
368,Carolina Freitas,46,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-11,2011-02-09,Não
369,Ricardo Barbosa Freitas,41,Oeste,Dependente (368),Ativada,Dentro da validade,2001-02-11,2011-02-09,Sim
370,Gustavo Azevedo Freitas,12,Oeste,Dependente (368),Desativada,Fora da validade,2001-02-11,2011-02-09,Sim
371,Eduardo Moura Freitas,33,Oeste,Dependente (368),Desativada,Dentro da validade,,,Sim
372,Leticia Cunha Freitas,41,Oeste,Dependente (368),Ativada,Dentro da validade,,,Sim
373,João Silva,19,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-06-07,2011-06-05,Não
374,Felipe Barros Silva,8,Oeste,Dependente (373),Desativada,Dentro da validade,,,Sim
375,Pedro Oliveira Silva,23,Oeste,Dependente (373),Ativada,Fora da validade,2001-06-07,2011-06-05,Sim
376,Diego Pinto,59,Sul,Sem Contrato,Ativada,Fora da validade,2001-11-25,2011-11-23,Não
377,Thiago Monteiro,52,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-16,2011-12-14,Não
378,José Carvalho Monteiro,58,Oeste,Dependente (377),Ativada,Dentro da validade,,,Sim
379,Felipe Barros,61,Sul,Sem Contrato,Ativada,Dentro da validade,2001-06-02,2006-06-01,Não
380,Marcelo Rezende Barros,53,Sul,Dependente (379),Ativada,Fora da validade,,,Sim
381,Amanda Dias,67,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-08-03,2011-08-01,Não
382,Ana Costa Dias,20,Oeste,Dependente (381),Desativada,Dentro da validade,,,Sim
383,Camila Rodrigues Dias,53,Oeste,Dependente (381),Desativada,Dentro da validade,,,Sim
384,Gabriel Ramos Dias,19,Oeste,Dependente (381),Desativada,Fora da validade,,,Sim
385,Henrique Lopes Dias,54,Oeste,Dependente (381),Desativada,Dentro da validade,,,Sim
386,Lucas Teixeira,60,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-06-05,2002-06-05,Sim
387,Bruna Ribeiro Teixeira,40,Oeste,Dependente (386),Ativada,Fora da validade,,,Sim
388,Vinicius Torres,42,Sul,Sem Contrato,Ativada,Dentro da validade,2001-11-27,2011-11-25,Não
389,Amanda Dias Torres,59,Sul,Dependente (388),Ativada,Fora da validade,,,Sim
390,Leticia Cunha Torres,63,Sul,Dependente (388),Ativada,Dentro da validade,,,Sim
391,Renata Campos Torres,13,Sul,Dependente (388),Ativada,Dentro da validade,,,Sim
392,Juliana Lima Torres,64,Sul,Dependente (388),Ativada,Dentro da validade,,,Sim
393,Ricardo Barbosa Torres,8,Sul,Dependente (388),Ativada,Fora da validade,,,Sim
394,Carlos Souza Torres,17,Sul,Dependente (388),Desativada,Dentro da validade,,,Sim
395,Beatriz Cardoso,31,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-11,2011-12-09,Não
396,Patricia Rocha Cardoso,52,Oeste,Dependente (395),Desativada,Dentro da validade,2001-12-11,2011-12-09,Sim
397,Amanda Dias,56,Sul,Sem Contrato,Ativada,Fora da validade,2001-05-05,2011-05-03,Não
398,Isabela Castro Dias,21,Sul,Dependente (397),Ativada,Fora da validade,,,Sim
399,Marcelo Rezende Dias,35,Sul,Dependente (397),Desativada,Dentro da validade,,,Sim
400,Rafael Mendes Dias,31,Sul,Dependente (397),Ativada,Fora da validade,,,Sim
401,Maria Santos Dias,21,Sul,Dependente (397),Ativada,Dentro da validade,,,Sim
402,José Carvalho,27,Oeste,Sem Contrato,Ativada,Fora da validade,2001-08-02,2006-08-01,Não
403,Beatriz Cardoso Carvalho,21,Oeste,Dependente (402),Desativada,Dentro da validade,2001-08-02,2006-08-01,Sim
404,Paula Melo Carvalho,36,Oeste,Dependente (402),Ativada,Fora da validade,,,Sim
405,Roberto Martins Carvalho,51,Oeste,Dependente (402),Ativada,Dentro da validade,,,Sim
406,Cristina Machado Carvalho,8,Oeste,Dependente (402),Ativada,Fora da validade,2001-08-02,2006-08-01,Sim
407,Alexandre Araújo Carvalho,8,Oeste,Dependente (402),Desativada,Dentro da validade,,,Sim
408,Camila Rodrigues,22,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-11-20,2002-11-20,Sim
409,Maria Santos Rodrigues,5,Oeste,Dependente (408),Ativada,Dentro da validade,,,Sim
410,Marcelo Rezende Rodrigues,22,Oeste,Dependente (408),Ativada,Dentro da validade,,,Sim
411,Vinicius Torres Rodrigues,48,Oeste,Dependente (408),Ativada,Fora da validade,,,Sim
412,Amanda Dias,24,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-04-03,2002-04-03,Sim
413,Juliana Lima Dias,28,Oeste,Dependente (412),Desativada,Dentro da validade,,,Sim
414,Vinicius Torres Dias,19,Oeste,Dependente (412),Ativada,Fora da validade,,,Sim
415,Vanessa Correia,59,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-11,2011-02-09,Não
416,Bruna Ribeiro,23,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-12-26,2002-12-26,Sim
417,Vinicius Torres,32,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-09-28,2002-09-28,Não
418,Pedro Oliveira,52,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-18,2006-12-17,Não
419,Anderson Coelho Oliveira,57,Oeste,Dependente (418),Desativada,Dentro da validade,,,Sim
420,Bruno Castro,28,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-02-09,2006-02-08,Sim
421,Paula Melo Castro,13,Oeste,Dependente (420),Desativada,Fora da validade,,,Sim
422,Paula Melo Castro,27,Oeste,Dependente (420),Ativada,Dentro da validade,,,Sim
423,Vanessa Correia,56,Norte,Sem Contrato,Desativada,Dentro da validade,2001-02-08,2006-02-07,Sim
424,Thiago Monteiro Correia,40,Norte,Dependente (423),Desativada,Dentro da validade,,,Sim
425,Alexandre Araújo Correia,29,Norte,Dependente (423),Ativada,Fora da validade,,,Sim
426,Silvia Cavalcanti Correia,9,Norte,Dependente (423),Ativada,Dentro da validade,,,Sim
427,Carolina Freitas,27,Sul,Sem Contrato,Ativada,Dentro da validade,2002-01-01,2011-12-30,Não
428,Fernando Alves Freitas,13,Sul,Dependente (427),Ativada,Dentro da validade,,,Sim
429,Eduardo Moura Freitas,31,Sul,Dependente (427),Ativada,Dentro da validade,,,Sim
430,Rafael Mendes,56,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-10-11,2002-10-11,Não
431,Monica Batista,54,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-10-14,2002-10-14,Não
432,Marcos Pereira Batista,32,Oeste,Dependente (431),Ativada,Dentro da validade,,,Sim
433,Carolina Freitas Batista,21,Oeste,Dependente (431),Desativada,Fora da validade,,,Sim
434,Raquel Pires Batista,17,Oeste,Dependente (431),Ativada,Dentro da validade,,,Sim
435,Beatriz Cardoso,39,Sul,Sem Contrato,Ativada,Dentro da validade,2001-01-04,2006-01-03,Sim
436,Roberto Martins Cardoso,24,Sul,Dependente (435),Ativada,Fora da validade,2001-01-04,2006-01-03,Sim
437,Rafael Mendes Cardoso,16,Sul,Dependente (435),Desativada,Fora da validade,,,Sim
438,Vinicius Torres Cardoso,45,Sul,Dependente (435),Ativada,Dentro da validade,,,Sim
439,Diego Pinto Cardoso,22,Sul,Dependente (435),Desativada,Dentro da validade,,,Sim
440,Bruno Castro Cardoso,17,Sul,Dependente (435),Ativada,Dentro da validade,,,Sim
441,Silvia Cavalcanti,19,Sul,Sem Contrato,Ativada,Fora da validade,2001-12-16,2011-12-14,Sim
442,Isabela Castro,49,Oeste,Sem Contrato,Ativada,Fora da validade,2001-07-29,2011-07-27,Sim
443,Gustavo Azevedo Castro,43,Oeste,Dependente (442),Ativada,Dentro da validade,,,Sim
444,Vinicius Torres Castro,31,Oeste,Dependente (442),Ativada,Fora da validade,,,Sim
445,Felipe Barros Castro,43,Oeste,Dependente (442),Desativada,Dentro da validade,,,Sim
446,Alexandre Araújo Castro,47,Oeste,Dependente (442),Ativada,Fora da validade,,,Sim
447,Cristina Machado Castro,48,Oeste,Dependente (442),Desativada,Fora da validade,,,Sim
448,Bruna Ribeiro Castro,11,Oeste,Dependente (442),Ativada,Dentro da validade,,,Sim
449,Vinicius Torres,51,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-09-19,2011-09-17,Não
450,Vinicius Torres Torres,37,Oeste,Dependente (449),Ativada,Fora da validade,,,Sim
451,Gabriel Ramos Torres,31,Oeste,Dependente (449),Desativada,Dentro da validade,,,Sim
452,Marcelo Rezende Torres,14,Oeste,Dependente (449),Ativada,Dentro da validade,2001-09-19,2011-09-17,Sim
453,Renata Campos Torres,35,Oeste,Dependente (449),Ativada,Dentro da validade,,,Sim
454,Gustavo Azevedo Torres,25,Oeste,Dependente (449),Ativada,Dentro da validade,,,Sim
455,Maria Santos Torres,59,Oeste,Dependente (449),Ativada,Dentro da validade,,,Sim
456,Adriana Farias,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-03-27,2011-03-25,Sim
457,Leonardo Vieira Farias,16,Oeste,Dependente (456),Ativada,Fora da validade,,,Sim
458,Ricardo Barbosa,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-07-22,2002-07-22,Não
459,Anderson Coelho Barbosa,50,Oeste,Dependente (458),Desativada,Dentro da validade,,,Sim
460,Ricardo Barbosa,29,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-22,2011-02-20,Sim
461,Rafael Mendes Barbosa,43,Oeste,Dependente (460),Ativada,Dentro da validade,2001-02-22,2011-02-20,Sim
462,Thiago Monteiro Barbosa,59,Oeste,Dependente (460),Ativada,Dentro da validade,,,Sim
463,Isabela Castro Barbosa,63,Oeste,Dependente (460),Desativada,Dentro da validade,,,Sim
464,Patricia Rocha Barbosa,20,Oeste,Dependente (460),Ativada,Dentro da validade,,,Sim
465,Henrique Lopes,50,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-12-22,2002-12-22,Não
466,Mariana Duarte Lopes,23,Oeste,Dependente (465),Ativada,Dentro da validade,,,Sim
467,Mariana Duarte,21,Oeste,Sem Contrato,Ativada,Fora da validade,2001-08-19,2011-08-17,Sim
468,Lucas Teixeira Duarte,48,Oeste,Dependente (467),Ativada,Fora da validade,,,Sim
469,Marcos Pereira Duarte,10,Oeste,Dependente (467),Ativada,Fora da validade,,,Sim
470,Pedro Oliveira Duarte,22,Oeste,Dependente (467),Ativada,Dentro da validade,,,Sim
471,Bruno Castro Duarte,52,Oeste,Dependente (467),Desativada,Dentro da validade,,,Sim
472,Simone Fonseca,54,Oeste,Sem Contrato,Ativada,Fora da validade,2001-09-19,2002-09-19,Não
473,Paula Melo,31,Oeste,Sem Contrato,Desativada,Fora da validade,2001-08-14,2011-08-12,Não
474,Gustavo Azevedo,40,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-08-19,2006-08-18,Sim
475,Daniela Sousa Azevedo,49,Oeste,Dependente (474),Ativada,Fora da validade,2001-08-19,2006-08-18,Sim
476,Camila Rodrigues,28,Oeste,Sem Contrato,Desativada,Fora da validade,2001-11-20,2006-11-19,Não
477,Felipe Barros Rodrigues,15,Oeste,Dependente (476),Ativada,Fora da validade,,,Sim
478,Tatiana Moreira Rodrigues,65,Oeste,Dependente (476),Desativada,Fora da validade,,,Sim
479,Fernando Alves Rodrigues,13,Oeste,Dependente (476),Desativada,Fora da validade,,,Sim
480,Tatiana Moreira Rodrigues,60,Oeste,Dependente (476),Desativada,Fora da validade,2001-11-20,2006-11-19,Sim
481,Anderson Coelho,27,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-03-09,2002-03-09,Não
482,Diego Pinto Coelho,33,Oeste,Dependente (481),Ativada,Fora da validade,,,Sim
483,Vanessa Correia Coelho,37,Oeste,Dependente (481),Desativada,Fora da validade,,,Sim
484,João Silva,49,Oeste,Sem Contrato,Desativada,Fora da validade,2001-07-08,2006-07-07,Não
485,Vinicius Torres Silva,27,Oeste,Dependente (484),Desativada,Fora da validade,,,Sim
486,Bruna Ribeiro Silva,57,Oeste,Dependente (484),Ativada,Dentro da validade,,,Sim
487,Beatriz Cardoso Silva,40,Oeste,Dependente (484),Ativada,Dentro da validade,2001-07-08,2006-07-07,Sim
488,Fernando Alves,61,Oeste,Sem Contrato,Desativada,Fora da validade,2001-09-06,2006-09-05,Não
489,João Silva Alves,32,Oeste,Dependente (488),Ativada,Fora da validade,,,Sim
490,Tatiana Moreira,37,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-03-09,2011-03-07,Não
491,Marcos Pereira Moreira,8,Oeste,Dependente (490),Ativada,Dentro da validade,2001-03-09,2011-03-07,Sim
492,José Carvalho Moreira,32,Oeste,Dependente (490),Desativada,Fora da validade,,,Sim
493,Rodrigo Neves Moreira,9,Oeste,Dependente (490),Ativada,Dentro da validade,,,Sim
494,João Silva Moreira,5,Oeste,Dependente (490),Desativada,Fora da validade,,,Sim
495,Bruna Ribeiro Moreira,49,Oeste,Dependente (490),Ativada,Dentro da validade,2001-03-09,2011-03-07,Sim
496,Rafael Mendes,64,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-07-17,2002-07-17,Não
497,Monica Batista Mendes,14,Oeste,Dependente (496),Ativada,Dentro da validade,,,Sim
